Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.667169,4.032588,4.076922,4.112193
1.666347,4.032588,4.076922,4.111362
1.665525,4.035061,4.079406,4.114686
1.667169,4.031764,4.076922,4.111362
1.667169,4.031764,4.076922,4.111362
1.666347,4.033412,4.078578,4.113024
1.667169,4.030940,4.076922,4.110531
1.667169,4.031764,4.076922,4.110531
1.666347,4.033412,4.078578,4.113024
1.665525,4.031764,4.077750,4.111362
1.665525,4.032588,4.078578,4.112193
1.666347,4.032588,4.078578,4.112193
1.665525,4.031764,4.077750,4.110531
1.665525,4.033412,4.079406,4.113024
1.665525,4.030940,4.076922,4.110531
1.666347,4.032588,4.078578,4.112193
1.666347,4.033412,4.078578,4.112193
1.667169,4.030940,4.076922,4.110531
1.665525,4.033412,4.078578,4.113024
1.666347,4.032588,4.076094,4.110531
1.666347,4.031764,4.076922,4.110531
1.666347,4.033412,4.078578,4.113024
1.666347,4.031764,4.076094,4.110531
1.665525,4.034237,4.078578,4.113024
1.666347,4.031764,4.076094,4.109700
1.666347,4.031764,4.076094,4.110531
1.665525,4.033412,4.077750,4.112193
1.666347,4.031764,4.076922,4.110531
1.666347,4.033412,4.078578,4.111362
1.666347,4.030940,4.076922,4.110531
1.666347,4.031764,4.078578,4.111362
1.665525,4.032588,4.078578,4.110531
1.666347,4.031764,4.077750,4.109700
1.664703,4.033412,4.078578,4.111362
1.666347,4.031764,4.077750,4.110531
1.665525,4.032588,4.077750,4.110531
1.665525,4.031764,4.076922,4.110531
1.666347,4.030940,4.076922,4.110531
1.666347,4.032588,4.078578,4.112193
1.667169,4.030116,4.076922,4.110531
1.665525,4.031764,4.077750,4.111362
1.666347,4.030940,4.076922,4.109700
1.667169,4.030940,4.076922,4.109700
1.667169,4.031764,4.076922,4.110531
1.667169,4.030940,4.076094,4.109700
1.666347,4.031764,4.077750,4.111362
1.666347,4.030940,4.076094,4.108869
1.666347,4.032588,4.077750,4.110531
1.666347,4.030940,4.076922,4.108869
1.666347,4.030940,4.076922,4.109700
1.667169,4.031764,4.077750,4.110531
1.667169,4.030940,4.076094,4.108869
1.667169,4.031764,4.077750,4.110531
1.667169,4.030940,4.076094,4.109700
1.666347,4.031764,4.076922,4.109700
1.666347,4.030940,4.076922,4.108869
1.666347,4.030940,4.076922,4.110531
1.666347,4.030940,4.076922,4.110531
1.666347,4.030116,4.076094,4.109700
1.666347,4.030940,4.076094,4.109700
1.666347,4.030940,4.076094,4.109700
1.666347,4.031764,4.077750,4.110531
1.666347,4.030940,4.076922,4.108869
1.667169,4.030940,4.076922,4.108869
1.666347,4.031764,4.077750,4.110531
1.667169,4.030116,4.076094,4.108869
1.666347,4.030940,4.076922,4.109700
1.667169,4.030116,4.076094,4.108037
1.667169,4.030116,4.076094,4.108037
